title,price,image_urls
Women Elegant Big Swing Dress - Red,4300,"https://ke.jumia.is/WR13RqpNjLYKKFNcl9mrMY3zMuY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/5003/1.jpg?2254"
Bohemian Maxi Dress - Blue,1600,"https://ke.jumia.is/hn4urVZVmGnrYjJMrwff-WlcKEA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/83/1153/1.jpg?8929"
Women Cashmeres Belted Wool Coat - Brown,2000,"https://ke.jumia.is/4GtkG8rZz81JUvUmOZ6dgu0y0Ug=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/99/2406/1.jpg?0376"
Fashion Women Sleeveless Striped Patchwork Maxi Long Dress w/ Belt,2500,"https://ke.jumia.is/B2fYMxENnSQpIdVZNhh8KkTvTD8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/24/65601/1.jpg?1466"
Print Off Shoulder Women Dress - Light Green,2858,"https://ke.jumia.is/v-XE6DB1Vo2_uCqmyFAam7k-dNU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/62/6614/1.jpg?2107"
Women Elegant Print Sheath Cape Dress - Black,1800,"https://ke.jumia.is/uN_rpxyOLoEH8Qyrz45MPQhUU64=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/41/03372/1.jpg?1083"
Polka Dot Long Sleeve Patchwork Dress - Black & White,2250,"https://ke.jumia.is/m-K64DmTIVpxY_Y_Upg58rLfHuY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/9552/1.jpg?1901"
Women's Retro Bodycon Pencil Dress - Purple,1800,"https://ke.jumia.is/x-PNWo8GuAHF7Yx3BNJqfWyDwuc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/98/4564/1.jpg?1134"
Women OL Short Blazer - Black,2200,"https://ke.jumia.is/iSGEDUeVyFns51efuMXEy968z7Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/18/2706/1.jpg?8042"
Ladies Plung Neck Perspective T-back Lingeries - Purple,2750,"https://ke.jumia.is/K-eQ_1MqQz-MNkgjD-lh6fsRyKw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/36/5215/1.jpg?6409"
Female Striped Business Pencil Dress - Black,3215,"https://ke.jumia.is/7g6HR0Et4fHKVl7_mwgYRqOXsDM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/15/7486/1.jpg?8074"
Official Dress Suit - Teal Blue Dress+Beige Coat,878,"https://ke.jumia.is/WdrZlJRZTLWoAKE8e5Zb6GugW8U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/29/95402/1.jpg?8644"
Pleated Frill Ruched High Waist Pencil Skirt - Black,1091,"https://ke.jumia.is/wgdCSqllm--2x6m5o9MAhvwlY7M=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/55/5352/1.jpg?5912"
Women V-Neck Retro Pencil Dress - Deep Blue,1171,"https://ke.jumia.is/YVSuRpJFT2PBz4h3V9MwLfTzoKU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/15/16101/1.jpg?8484"
Female Floral Swing Dress - Yellow,1455,"https://ke.jumia.is/uC_seAeCD5gLZELR88LfqwAXU9I=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/59321/1.jpg?2697"
Elegant Denim Suit (Trouser+Top) - Light Blue,700,"https://ke.jumia.is/fz4rNXxRVAjnz8UNRQsM8uvBtt4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/25/02825/1.jpg?0165"
Muslim Women Fashion Red Long Sleeved Maxi Dress+Black Cover Coat Only - Red + Black,1250,"https://ke.jumia.is/7S-rqhPB1HozmMRwpcTXWCeFZ9c=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/26/06915/1.jpg?5197"
Fashion  Sleeveless Striped Patchwork Maxi Long Dress W/ Belt,1600,"https://ke.jumia.is/yRCA9J2vsOQ3l68FKzFrJycq6cw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/8154/1.jpg?5084"
Stylish Sweater Dress - Brown,2000,"https://ke.jumia.is/uDkhnJVkmdyDdATrSmHBEmpV5Qg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/45/02825/1.jpg?0164"
Official Dress Suit - Beige,1100,"https://ke.jumia.is/AzP0K6FeSMxXabbW53AjRa9L-bo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/12/95321/1.jpg?5664"
Official Dress Suit - Black Dress+Green Coat,1400,"https://ke.jumia.is/wQV3bAmaZGUpgzRm7VhnI0g5H1I=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/73/39731/1.jpg?5603"
Official Dress Suit - Black Dress+Peach Coat,1750,"https://ke.jumia.is/SkW1VV_ryJhXgT3LZbLi1w5Wggw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/19/95402/1.jpg?8642"
Muslim Women Fashion Long Sleeved Maxi Dress Only - Amber,1965,"https://ke.jumia.is/M0gR46xuoWBGRZZc4OcQDzW97bE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/46/66915/1.jpg?6009"
Elegant Denim Suit (Trouser+Top) - Navy Blue,1400,"https://ke.jumia.is/cV53VF1cYbBnBqBfOuAd5MtGo7w=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/15/02825/1.jpg?0164"
Womens Official Dress Suit - Navy Blue,1750,"https://ke.jumia.is/XOK3uHSri-tURCO9ANZIzaN-Abw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/17/10503/1.jpg?4975"
Official Dress Suit - Maroon Dress+Black Coat,1000,"https://ke.jumia.is/k7GqcCgLDkWlQvSuUVDqK6SBMXw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/95/33023/1.jpg?6788"
Official Dress Suit - Teal Blue,1250,"https://ke.jumia.is/5kDB2SUQHYkvJkJXEl5ASaXKMqA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/55421/1.jpg?4991"
Unique Plain Bodycon Dress - Green,700,"https://ke.jumia.is/lvsUXov1Svb-LesxDA_37W-Nou8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/81714/1.jpg?8689"
Official Dress Suit - Maroon,875,"https://ke.jumia.is/5pTyYApOJv9GdhYi4s-SmYup7xk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/51/95321/1.jpg?1205"
Elegant Floral Skater Dress,1000,"https://ke.jumia.is/rU2X5tuVyb533sa4r-PfH24ghjc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/97/87064/1.jpg?5280"
Sharp Look Skater Dress,1200,"https://ke.jumia.is/_I3jyFPORHnE6N6CQhZsHKVkCnQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/08/87064/1.jpg?5280"
Official Long-sleeved Peplum Dress - Maroon,1500,"https://ke.jumia.is/l31Xzxk2UntBFN86NG1NYnOPaB4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/26/51592/1.jpg?6953"
Maroon Bodycon Dress with Front Overlap,1786,"https://ke.jumia.is/lVNrOr_8SZ5ZDTLGLEqIPXi9Jio=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/14/81714/1.jpg?8688"
